id,brand,model,technology,profile,min_flow_m3h,max_flow_m3h,max_head_m,base_cost_eur,is_atex,description,recommended_motor_kw,motor_voltage,match_score,wetted_body_material,wetted_elastomer_material,curve_reference_url
ARO-PE01P-HPS-PTT-AD0,ARO (Ingersoll Rand),PE01P-HPS-PTT-AD0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,692.17,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PE01P-HPS-0LT-AD0,ARO (Ingersoll Rand),PE01P-HPS-0LT-AD0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,715.12,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-PD03P-APS-PTT,ARO (Ingersoll Rand),PD03P-APS-PTT,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,719.71,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PD03P-BPS-SAA,ARO (Ingersoll Rand),PD03P-BPS-SAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,740.83,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD03P-BRS-SAA,ARO (Ingersoll Rand),PD03P-BRS-SAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,741.74,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD03P-BES-DCC,ARO (Ingersoll Rand),PD03P-BES-DCC,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,743.58,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Hytrel,
ARO-LM2203A-11-C,ARO (Ingersoll Rand),LM2203A-11-C,NEUMATICA_DOBLE_MEMBRANA,BARATA,1.953,39.06,84.6,745.62,False,"PUMP ASM, 2"" AM, 3:1 OIL - LM2203A-11-C",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-LM2203A-12-C,ARO (Ingersoll Rand),LM2203A-12-C,NEUMATICA_DOBLE_MEMBRANA,BARATA,1.953,39.06,84.6,745.62,False,"PUMP ASM, 2"" AM, 3:1 OIL - LM2203A-12-C",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-PD03P-ARS-PTT,ARO (Ingersoll Rand),PD03P-ARS-PTT,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,780.0,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-LM2203A-31-C,ARO (Ingersoll Rand),LM2203A-31-C,NEUMATICA_DOBLE_MEMBRANA,BARATA,1.953,39.06,84.6,785.4,False,"PUMP ASM, 2"" AM, 3:1 OIL - LM2203A-31-C",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-LM2203A-32-C,ARO (Ingersoll Rand),LM2203A-32-C,NEUMATICA_DOBLE_MEMBRANA,BARATA,1.953,39.06,84.6,785.4,False,"PUMP ASM, 2"" AM, 3:1 OIL - LM2203A-32-C",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-PD01E-HES-DTT-A,ARO (Ingersoll Rand),PD01E-HES-DTT-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,794.07,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-PD03P-BRS-PTT,ARO (Ingersoll Rand),PD03P-BRS-PTT,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,798.66,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PD03P-BPS-PTT,ARO (Ingersoll Rand),PD03P-BPS-PTT,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,807.84,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PE03P-BPS-PAA-AD0,ARO (Ingersoll Rand),PE03P-BPS-PAA-AD0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,814.27,False,"3/8"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-LM2203A-41-C,ARO (Ingersoll Rand),LM2203A-41-C,NEUMATICA_DOBLE_MEMBRANA,BARATA,1.953,39.06,84.6,821.1,False,"PUMP ASM, 2"" AM, 3:1 OIL - LM2203A-41-C",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-LM2203A-42-C,ARO (Ingersoll Rand),LM2203A-42-C,NEUMATICA_DOBLE_MEMBRANA,BARATA,1.953,39.06,84.6,821.1,False,"PUMP ASM, 2"" AM, 3:1 OIL - LM2203A-42-C",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-PE03P-BRS-PAA-AD0,ARO (Ingersoll Rand),PE03P-BRS-PAA-AD0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,829.87,False,"3/8"" PUMP ASM",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PE01P-HPS-PAA-ADF,ARO (Ingersoll Rand),PE01P-HPS-PAA-ADF,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,842.72,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD03P-BES-DAA,ARO (Ingersoll Rand),PD03P-BES-DAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,857.82,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD05P-BRS-PAA-B,ARO (Ingersoll Rand),PD05P-BRS-PAA-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,860.0,False,"1/2"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD01E-HDS-1LT-A,ARO (Ingersoll Rand),PD01E-HDS-1LT-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,864.76,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-666120-3C9-C,ARO (Ingersoll Rand),666120-3C9-C,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.399,7.98,84.6,875.0,False,"PUMP ASM, 1"" METAL DIAPHRAGM PUMP",0.0,Sin motor electrico (neumatica),0.2,,Hytrel,
ARO-PD05P-APS-PCC-B,ARO (Ingersoll Rand),PD05P-APS-PCC-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,884.03,False,"1/2"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Hytrel,
ARO-PD05P-BPS-PAA-B,ARO (Ingersoll Rand),PD05P-BPS-PAA-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,899.64,False,1/2 PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD03P-ADS-DTT,ARO (Ingersoll Rand),PD03P-ADS-DTT,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,905.15,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PD05P-ARS-PCC-B,ARO (Ingersoll Rand),PD05P-ARS-PCC-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,917.08,False,"1/2"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Hytrel,
ARO-PE03P-BRS-PTT-AD0,ARO (Ingersoll Rand),PE03P-BRS-PTT-AD0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,918.0,False,"3/8"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PD03P-AES-DTT,ARO (Ingersoll Rand),PD03P-AES-DTT,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,921.67,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PD05P-ARS-PAA-B,ARO (Ingersoll Rand),PD05P-ARS-PAA-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,921.67,False,1/2 PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD05P-ARS-PGG-B,ARO (Ingersoll Rand),PD05P-ARS-PGG-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,921.67,False,1/2 PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Nitrilo (NBR/Buna-N),
ARO-PE05P-BRS-PAA-BP0,ARO (Ingersoll Rand),PE05P-BRS-PAA-BP0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.136,2.724,70.3,921.67,False,"1/2"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PE05P-ARS-PCC-BP0,ARO (Ingersoll Rand),PE05P-ARS-PCC-BP0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.136,2.724,70.3,925.34,False,"1/2"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Hytrel,
ARO-PD03P-BPS-STT,ARO (Ingersoll Rand),PD03P-BPS-STT,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,928.1,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-66605J-311,ARO (Ingersoll Rand),66605J-311,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,930.0,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-PE03P-BPS-PTT-AD0,ARO (Ingersoll Rand),PE03P-BPS-PTT-AD0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,952.88,False,"3/8"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PD03P-BPS-SST,ARO (Ingersoll Rand),PD03P-BPS-SST,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,955.64,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),,
ARO-PD05P-BRS-PGG-B,ARO (Ingersoll Rand),PD05P-BRS-PGG-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,957.47,False,"1/2"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Nitrilo (NBR/Buna-N),
ARO-666053-0CB,ARO (Ingersoll Rand),666053-0CB,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,968.49,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-670273-A,ARO (Ingersoll Rand),670273-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,971.04,False,"1/2"" PLASTIC DIAPHRAGM PUMP - OEM HENNECKE",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-LM2203A-52-C,ARO (Ingersoll Rand),LM2203A-52-C,NEUMATICA_DOBLE_MEMBRANA,BARATA,1.953,39.06,84.6,980.22,False,"PUMP ASM, 2"" AM, 3:1 OIL - LM2203A-52-C",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-66605J-389,ARO (Ingersoll Rand),66605J-389,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,980.42,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-670093,ARO (Ingersoll Rand),670093,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.136,2.724,70.3,991.44,False,"1/2"" DIAPHRAGM PUMP (NON-METALLIC)",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-PD03P-BLS-KAA,ARO (Ingersoll Rand),PD03P-BLS-KAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,992.36,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-670272-A,ARO (Ingersoll Rand),670272-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,993.48,False,"1/2"" PLASTIC DIAPHRAGM PUMP - OEM HENNECKE",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-666053-0C8,ARO (Ingersoll Rand),666053-0C8,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,996.03,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-666053-3A2,ARO (Ingersoll Rand),666053-3A2,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,996.03,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-66605J-322,ARO (Ingersoll Rand),66605J-322,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,1004.29,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-PD03P-BDS-STT,ARO (Ingersoll Rand),PD03P-BDS-STT,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,1004.29,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-66605J-34B,ARO (Ingersoll Rand),66605J-34B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,1005.21,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-PE01P-HPS-PTT-ACF,ARO (Ingersoll Rand),PE01P-HPS-PTT-ACF,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,1011.64,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PE01P-HPS-PTT-ADF,ARO (Ingersoll Rand),PE01P-HPS-PTT-ADF,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,1011.64,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-PD07P-BPS-PAA,ARO (Ingersoll Rand),PD07P-BPS-PAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.168,3.36,70.3,1015.0,False,"3/4"" PUMP ASM (NON-METAL)",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD07P-APS-PAA,ARO (Ingersoll Rand),PD07P-APS-PAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.168,3.36,70.3,1017.14,False,PUMP ASM,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD05P-AAS-FAA,ARO (Ingersoll Rand),PD05P-AAS-FAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,1020.0,False,"PUMP, DIAPHRAGM PD05P-AAS-FAA",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-PD07P-BPS-PCC,ARO (Ingersoll Rand),PD07P-BPS-PCC,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.168,3.36,70.3,1020.82,False,3/4 PUMP ASM (NON-METAL),0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Hytrel,
ARO-LM2250E-31-B,ARO (Ingersoll Rand),LM2250E-31-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,1.953,39.06,84.6,1024.08,False,"PUMP ASM, 2"" AM, 50:1 GREASE - LM2250E-31-B",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-PD03P-BES-DTT,ARO (Ingersoll Rand),PD03P-BES-DTT,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,1035.5,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),
ARO-666053-389,ARO (Ingersoll Rand),666053-389,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,1047.44,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-66605J-2EB,ARO (Ingersoll Rand),66605J-2EB,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,1054.78,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-PD05R-BAS-PAA-B,ARO (Ingersoll Rand),PD05R-BAS-PAA-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.136,2.724,70.3,1055.7,False,"1/2"" PUMP ASM. (METAL)",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (centro) con cabezales metálicos,Santoprene,
ARO-PE05P-BRS-PAA-BD0,ARO (Ingersoll Rand),PE05P-BRS-PAA-BD0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.136,2.724,70.3,1056.62,False,"1/2"" PUMP ASSEMBLY",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,
ARO-666053-311,ARO (Ingersoll Rand),666053-311,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.164,3.27,70.3,1061.21,False,"PUMP ASSEMBLY (1/2"" PLASTIC DIAPHRAGM PUMP)",0.0,Sin motor electrico (neumatica),0.2,Plástico (no metálico),,
ARO-PD05R-AAS-PAA-B,ARO (Ingersoll Rand),PD05R-AAS-PAA-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.136,2.724,70.3,1062.13,False,"1/2"" PUMP ASM. (METAL)",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (centro) con cabezales metálicos,Santoprene,
ARO-LM2250E-42-B,ARO (Ingersoll Rand),LM2250E-42-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,1.953,39.06,84.6,1063.86,False,"PUMP ASM, 2"" AM, 50:1 GREASE - LM2250E-42-B",0.0,Sin motor electrico (neumatica),0.2,,,
ARO-LM2305A-12-B,ARO (Ingersoll Rand),LM2305A-12-B,NEUMATICA_DOBLE_MEMBRANA,BARATA,2.691,53.82,84.6,1064.88,False,"PUMP ASM, 3"" AIR MOTOR, 5:1 RATIO",0.0,Sin motor electrico (neumatica),0.2,,,
